Time,Time Code,Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted savings: gross savings (% of GNI) [NY.ADJ.ICTR.GN.ZS]
2013,YR2013,"Macao SAR, China",MAC,..,63.10181046
2013,YR2013,"Macedonia, FYR",MKD,8606739537.15876,27.38164802
2013,YR2013,Madagascar,MDG,8072707390.5102,..
2013,YR2013,Malawi,MWI,2633918039.37973,..
2013,YR2013,Malaysia,MYS,246202648774.308,31.4572205
2013,YR2013,Maldives,MDV,1980491887.2677,..
2013,YR2013,Mali,MLI,8885330888.56962,..
2013,YR2013,Malta,MLT,..,..
2013,YR2013,Marshall Islands,MHL,..,..
2013,YR2013,Mauritania,MRT,2641228407.43378,24.86641707
2013,YR2013,Mauritius,MUS,10309567497.8708,12.66027652
2013,YR2013,Mexico,MEX,992843934424.948,20.15773428
2013,YR2013,"Micronesia, Fed. Sts.",FSM,318923514.396722,..
2013,YR2013,Moldova,MDA,8110846641.34047,17.70417775
2013,YR2013,Monaco,MCO,..,..
2013,YR2013,Mongolia,MNG,9562717019.72356,29.30355636
2013,YR2013,Montenegro,MNE,..,4.456957611
2013,YR2013,Morocco,MAR,82979818573.4789,27.3487075
2013,YR2013,Mozambique,MOZ,13530601840.3681,16.40664541
2013,YR2013,Myanmar,MMR,..,..
2013,YR2013,Namibia,NAM,11483720992.2972,17.50080244
2013,YR2013,Nepal,NPL,17627432260.8911,42.86544724
2013,YR2013,Netherlands,NLD,704231861038.021,26.59443976
2013,YR2013,New Caledonia,NCL,..,..
2013,YR2013,New Zealand,NZL,153655844768.162,20.99939426
2013,YR2013,Nicaragua,NIC,9571771736.50653,17.87551432
2013,YR2013,Niger,NER,6033080932.16111,..
2013,YR2013,Nigeria,NGA,428408462098.066,..
2013,YR2013,Northern Mariana Islands,MNP,..,..
2013,YR2013,Norway,NOR,409358967573.274,38.07291969
2013,YR2013,Oman,OMN,33239318090.4315,..
2013,YR2013,Pakistan,PAK,224837107218.746,20.00045425
2013,YR2013,Palau,PLW,..,..
2013,YR2013,Panama,PAN,39975523528.8679,..
2013,YR2013,Papua New Guinea,PNG,10695495844.1194,..
2013,YR2013,Paraguay,PRY,23419001577.5149,17.7257039
2013,YR2013,Peru,PER,162021392665.991,25.11300614
2013,YR2013,Philippines,PHL,291473429254.753,36.05655002
2013,YR2013,Poland,POL,444484600935.677,19.12439269
2013,YR2013,Portugal,PRT,181440754470.732,16.87883883
2013,YR2013,Puerto Rico,PRI,..,..
2013,YR2013,Qatar,QAT,122007937547.783,..
2013,YR2013,Romania,ROM,177365148376.476,22.52268369
2013,YR2013,Russian Federation,RUS,1670166723471.68,25.3990283
2013,YR2013,Rwanda,RWA,6073970007.52666,21.17493328
2013,YR2013,Samoa,WSM,670029345.696211,..
2013,YR2013,San Marino,SMR,..,..
2013,YR2013,Sao Tome and Principe,STP,264141635.504565,18.15822002
2013,YR2013,Saudi Arabia,SAU,542963642267.998,43.4330985
2013,YR2013,Senegal,SEN,12617686443.4012,..
2013,YR2013,Serbia,SRB,..,12.52859532
2013,YR2013,Seychelles,SYC,1167669250.24921,..
2013,YR2013,Sierra Leone,SLE,3854615291.12211,8.241830022
2013,YR2013,Singapore,SGP,..,48.37356772
2013,YR2013,Sint Maarten (Dutch part),SXM,..,..
2013,YR2013,Slovak Republic,SVK,74868357106.8364,22.23156615
2013,YR2013,Slovenia,SVN,37607709869.9785,25.04417368
2013,YR2013,Solomon Islands,SLB,664559647.611985,..
2013,YR2013,Somalia,SOM,..,..
2013,YR2013,South Africa,ZAF,295473757071.358,14.73716878
2013,YR2013,South Sudan,SSD,..,..
2013,YR2013,Spain,ESP,1141016088127.71,21.26486739
2013,YR2013,Sri Lanka,LKA,61619713641.0517,26.52349676
2013,YR2013,St. Kitts and Nevis,KNA,..,21.59061486
2013,YR2013,St. Lucia,LCA,1251312571.88875,10.90356014
2013,YR2013,St. Martin (French part),MAF,..,..
2013,YR2013,St. Vincent and the Grenadines,VCT,680204916.191483,-4.588046742
2013,YR2013,Sudan,SDN,59734631908.5678,13.5904666
2013,YR2013,Suriname,SUR,3572211077.72707,..
2013,YR2013,Swaziland,SWZ,2636409807.66856,19.02814178
2013,YR2013,Sweden,SWE,502445506016.472,28.13271226
2013,YR2013,Switzerland,CHE,575195875056.838,35.86942328
2013,YR2013,Syrian Arab Republic,SYR,..,..
2013,YR2013,Tajikistan,TJK,7995602013.20911,..
2013,YR2013,Tanzania,TZA,38619913974.3972,15.78175928
2013,YR2013,Thailand,THA,283717993335.825,30.57251918
2013,YR2013,Timor-Leste,TMP,..,..
2013,YR2013,Togo,TGO,3134249154.05721,..
2013,YR2013,Tonga,TON,407253321.266752,..
2013,YR2013,Trinidad and Tobago,TTO,11858988520.9551,..
2013,YR2013,Tunisia,TUN,35329931654.4629,13.61876125
2013,YR2013,Turkey,TUR,767795801394.717,13.3031792
2013,YR2013,Turkmenistan,TKM,..,..
2013,YR2013,Turks and Caicos Islands,TCA,..,..
2013,YR2013,Tuvalu,TUV,..,..
2013,YR2013,Uganda,UGA,19364137434.3466,22.09702004
2013,YR2013,Ukraine,UKR,143958014357.326,7.35419544
2013,YR2013,United Arab Emirates,ARE,310338508888.812,..
2013,YR2013,United Kingdom,GBR,2275060464001.87,12.66874247
2013,YR2013,United States,USA,14424167903967.6,17.72145336
2013,YR2013,Uruguay,URY,49926787420.2398,17.5898115
2013,YR2013,Uzbekistan,UZB,50041536669.54,..
2013,YR2013,Vanuatu,VUT,698185460.795193,21.50054466
2013,YR2013,"Venezuela, RB",VEN,294129081395.358,..
2013,YR2013,Vietnam,VNM,131218092488.135,31.48707505
2013,YR2013,Virgin Islands (U.S.),VIR,..,..
2013,YR2013,West Bank and Gaza,WBG,..,10.40978581
2013,YR2013,"Yemen, Rep.",YEM,29484209770.3605,..
2013,YR2013,Zambia,ZMB,18980523831.8128,..
2013,YR2013,Zimbabwe,ZWE,11834533344.9219,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 02/17/2016,,,,,
